instancia,cant_palabras,palabra_max,cant_max
exp_cant_palabras_4000_1,4000, aa bb cc dd ee ff gg hh ii jj,16
exp_cant_palabras_4000_2,4000, aa aab bc bcd ce cef dg dgh ei eij fk fkl gm gmn ho hop iq iqr js jst ku kuv lw lwx my myz na nab oc ocd pe pef qg qgh ri rij,8
exp_cant_palabras_4000_3,4000, aa aab aabc bd bde bdef cg cgh cghi dj djk djkl,6
exp_cant_palabras_4000_4,4000, aa aab aabc aabcd be bef befg befgh ci cij cijk cijkl dm dmn dmno dmnop eq eqr eqrs eqrst fu fuv fuvw fuvwx gy gyz gyza gyzab hc hcd hcde hcdef ig igh ighi ighij jk jkl jklm jklmn ko kop kopq kopqr ls lst lstu lstuv mw mwx mwxy mwxyz na nab nabc nabcd oe oef oefg oefgh pi pij pijk pijkl qm qmn qmno qmnop rq rqr rqrs rqrst su suv suvw suvwx ty tyz tyza tyzab uc ucd ucde ucdef vg vgh vghi vghij,4
exp_cant_palabras_4000_5,4000, aa aab aabc aabcd aabcde bf bfg bfgh bfghi bfghij,4
exp_cant_palabras_4000_6,4000, aa aab aabc aabcd aabcde aabcdef bg bgh bghi bghij bghijk bghijkl cm cmn cmno cmnop cmnopq cmnopqr ds dst dstu dstuv dstuvw dstuvwx ey eyz eyza eyzab eyzabc eyzabcd fe fef fefg fefgh fefghi fefghij gk gkl gklm gklmn gklmno gklmnop hq hqr hqrs hqrst hqrstu hqrstuv iw iwx iwxy iwxyz iwxyza iwxyzab jc jcd jcde jcdef jcdefg jcdefgh ki kij kijk kijkl kijklm kijklmn lo lop lopq lopqr lopqrs lopqrst mu muv muvw muvwx muvwxy muvwxyz na nab nabc nabcd nabcde nabcdef og ogh oghi oghij oghijk oghijkl,3
exp_cant_palabras_4000_7,4000, aa aab aabc aabcd aabcde aabcdef aabcdefg bh bhi bhij bhijk bhijkl bhijklm bhijklmn co cop copq copqr copqrs copqrst copqrstu dv dvw dvwx dvwxy dvwxyz dvwxyza dvwxyzab ec ecd ecde ecdef ecdefg ecdefgh ecdefghi fj fjk fjkl fjklm fjklmn fjklmno fjklmnop,3
exp_cant_palabras_4000_8,4000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh bi bij bijk bijkl bijklm bijklmn bijklmno bijklmnop cq cqr cqrs cqrst cqrstu cqrstuv cqrstuvw cqrstuvwx dy dyz dyza dyzab dyzabc dyzabcd dyzabcde dyzabcdef eg egh eghi eghij eghijk eghijkl eghijklm eghijklmn fo fop fopq fopqr fopqrs fopqrst fopqrstu fopqrstuv gw gwx gwxy gwxyz gwxyza gwxyzab gwxyzabc gwxyzabcd he hef hefg hefgh hefghi hefghij hefghijk hefghijkl im imn imno imnop imnopq imnopqr imnopqrs imnopqrst ju juv juvw juvwx juvwxy juvwxyz juvwxyza juvwxyzab kc kcd kcde kcdef kcdefg kcdefgh kcdefghi kcdefghij lk lkl lklm lklmn lklmno lklmnop lklmnopq lklmnopqr ms mst mstu mstuv mstuvw mstuvwx mstuvwxy mstuvwxyz na nab nabc nabcd nabcde nabcdef nabcdefg nabcdefgh oi oij oijk oijkl oijklm oijklmn oijklmno oijklmnop pq pqr pqrs pqrst pqrstu pqrstuv pqrstuvw pqrstuvwx qy qyz qyza qyzab qyzabc qyzabcd qyzabcde qyzabcdef rg rgh rghi rghij rghijk rghijkl rghijklm rghijklmn so sop sopq sopqr sopqrs sopqrst sopqrstu sopqrstuv tw twx twxy twxyz twxyza twxyzab twxyzabc twxyzabcd ue uef uefg uefgh uefghi uefghij uefghijk uefghijkl vm vmn vmno vmnop vmnopq vmnopqr vmnopqrs vmnopqrst wu wuv wuvw wuvwx wuvwxy wuvwxyz wuvwxyza wuvwxyzab xc xcd xcde xcdef xcdefg xcdefgh xcdefghi xcdefghij,2
exp_cant_palabras_4000_9,4000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi bj bjk bjkl bjklm bjklmn bjklmno bjklmnop bjklmnopq bjklmnopqr cs cst cstu cstuv cstuvw cstuvwx cstuvwxy cstuvwxyz cstuvwxyza db dbc dbcd dbcde dbcdef dbcdefg dbcdefgh dbcdefghi dbcdefghij ek ekl eklm eklmn eklmno eklmnop eklmnopq eklmnopqr eklmnopqrs ft ftu ftuv ftuvw ftuvwx ftuvwxy ftuvwxyz ftuvwxyza ftuvwxyzab gc gcd gcde gcdef gcdefg gcdefgh gcdefghi gcdefghij gcdefghijk hl hlm hlmn hlmno hlmnop hlmnopq hlmnopqr hlmnopqrs hlmnopqrst iu iuv iuvw iuvwx iuvwxy iuvwxyz iuvwxyza iuvwxyzab iuvwxyzabc jd jde jdef jdefg jdefgh jdefghi jdefghij jdefghijk jdefghijkl km kmn kmno kmnop kmnopq kmnopqr kmnopqrs kmnopqrst kmnopqrstu lv lvw lvwx lvwxy lvwxyz lvwxyza lvwxyzab lvwxyzabc lvwxyzabcd me mef mefg mefgh mefghi mefghij mefghijk mefghijkl mefghijklm nn nno nnop nnopq nnopqr nnopqrs nnopqrst nnopqrstu nnopqrstuv ow owx owxy owxyz owxyza owxyzab owxyzabc owxyzabcd owxyzabcde pf pfg pfgh pfghi pfghij pfghijk pfghijkl pfghijklm pfghijklmn qo qop qopq qopqr qopqrs qopqrst qopqrstu qopqrstuv qopqrstuvw rx rxy rxyz rxyza rxyzab rxyzabc rxyzabcd rxyzabcde rxyzabcdef sg sgh sghi sghij sghijk sghijkl sghijklm sghijklmn sghijklmno,2
exp_cant_palabras_4000_10,4000, aa aab aabc aabcd aabcde aabcdef aabcdefg aabcdefgh aabcdefghi aabcdefghij bk bkl bklm bklmn bklmno bklmnop bklmnopq bklmnopqr bklmnopqrs bklmnopqrst cu cuv cuvw cuvwx cuvwxy cuvwxyz cuvwxyza cuvwxyzab cuvwxyzabc cuvwxyzabcd de def defg defgh defghi defghij defghijk defghijkl defghijklm defghijklmn eo eop eopq eopqr eopqrs eopqrst eopqrstu eopqrstuv eopqrstuvw eopqrstuvwx fy fyz fyza fyzab fyzabc fyzabcd fyzabcde fyzabcdef fyzabcdefg fyzabcdefgh gi gij gijk gijkl gijklm gijklmn gijklmno gijklmnop gijklmnopq gijklmnopqr hs hst hstu hstuv hstuvw hstuvwx hstuvwxy hstuvwxyz hstuvwxyza hstuvwxyzab ic icd icde icdef icdefg icdefgh icdefghi icdefghij icdefghijk icdefghijkl jm jmn jmno jmnop jmnopq jmnopqr jmnopqrs jmnopqrst jmnopqrstu jmnopqrstuv kw kwx kwxy kwxyz kwxyza kwxyzab kwxyzabc kwxyzabcd kwxyzabcde kwxyzabcdef lg lgh lghi lghij lghijk lghijkl lghijklm lghijklmn lghijklmno lghijklmnop mq mqr mqrs mqrst mqrstu mqrstuv mqrstuvw mqrstuvwx mqrstuvwxy mqrstuvwxyz na nab nabc nabcd nabcde nabcdef nabcdefg nabcdefgh nabcdefghi nabcdefghij,2
exp_cant_palabras_4000_10,4000, aa,50
